央视,#genre#
CCTV1综合,http://192.168.0.50:5080/migu720p/migu720p.php?id=608807420
CCTV2财经,http://192.168.0.50:5080/migu720p/migu720p.php?id=631780532
CCTV3综艺,http://192.168.0.50:5080/migu720p/migu720p.php?id=624878271
CCTV4中文国际,http://192.168.0.50:5080/migu720p/migu720p.php?id=631780421
CCTV5体育,http://192.168.0.50:5080/migu720p/migu720p.php?id=641886683
CCTV5+体育赛事,http://192.168.0.50:5080/migu720p/migu720p.php?id=641886773
CCTV6电影,http://192.168.0.50:5080/migu720p/migu720p.php?id=624878396
CCTV7国防军事,http://192.168.0.50:5080/migu720p/migu720p.php?id=673168121
CCTV8电视剧,http://192.168.0.50:5080/migu720p/migu720p.php?id=624878356
CCTV9纪录,http://192.168.0.50:5080/migu720p/migu720p.php?id=673168140
CCTV10科教,http://192.168.0.50:5080/migu720p/migu720p.php?id=624878405
CCTV11戏曲,http://192.168.0.50:5080/migu720p/migu720p.php?id=667987558
CCTV12社会与法,http://192.168.0.50:5080/migu720p/migu720p.php?id=673168185
CCTV13新闻,http://192.168.0.50:5080/migu720p/migu720p.php?id=608807423
CCTV14少儿,http://192.168.0.50:5080/migu720p/migu720p.php?id=624878440
CCTV15音乐,http://192.168.0.50:5080/migu720p/migu720p.php?id=673168223
CCTV17农业农村,http://192.168.0.50:5080/migu720p/migu720p.php?id=673168256
CCTV4欧洲,http://192.168.0.50:5080/migu720p/migu720p.php?id=608807419
CCTV4美洲,http://192.168.0.50:5080/migu720p/migu720p.php?id=608807416
CGTN外语纪录,http://192.168.0.50:5080/migu720p/migu720p.php?id=609006487
CGTN阿拉伯语,http://192.168.0.50:5080/migu720p/migu720p.php?id=609154345
CGTN西班牙语,http://192.168.0.50:5080/migu720p/migu720p.php?id=609006450
CGTN法语,http://192.168.0.50:5080/migu720p/migu720p.php?id=609006476
CGTN俄语,http://192.168.0.50:5080/migu720p/migu720p.php?id=609006446
老故事,http://192.168.0.50:5080/migu720p/migu720p.php?id=884121956
中学生,http://192.168.0.50:5080/migu720p/migu720p.php?id=708869532
CGTN,http://192.168.0.50:5080/migu720p/migu720p.php?id=609017205

卫视,#genre#
东方卫视,http://192.168.0.50:5080/migu720p/migu720p.php?id=651632648
江苏卫视,http://192.168.0.50:5080/migu720p/migu720p.php?id=623899368
广东卫视,http://192.168.0.50:5080/migu720p/migu720p.php?id=608831231
江西卫视,http://192.168.0.50:5080/migu720p/migu720p.php?id=783847495
河南卫视,http://192.168.0.50:5080/migu720p/migu720p.php?id=790187291
陕西卫视,http://192.168.0.50:5080/migu720p/migu720p.php?id=738910838
大湾区卫视,http://192.168.0.50:5080/migu720p/migu720p.php?id=608917627
湖北卫视,http://192.168.0.50:5080/migu720p/migu720p.php?id=947472496
吉林卫视,http://192.168.0.50:5080/migu720p/migu720p.php?id=947472500
青海卫视,http://192.168.0.50:5080/migu720p/migu720p.php?id=947472506
东南卫视,http://192.168.0.50:5080/migu720p/migu720p.php?id=849116810
海南卫视,http://192.168.0.50:5080/migu720p/migu720p.php?id=947472502
海峡卫视,http://192.168.0.50:5080/migu720p/migu720p.php?id=849119120
中国农林卫视,http://192.168.0.50:5080/migu720p/migu720p.php?id=956904896
兵团卫视,http://192.168.0.50:5080/migu720p/migu720p.php?id=956923145
辽宁卫视,http://192.168.0.50:5080/migu720p/migu720p.php?id=630291707
上海新闻综合,http://192.168.0.50:5080/migu720p/migu720p.php?id=651632657
上视东方影视,http://192.168.0.50:5080/migu720p/migu720p.php?id=617290047
南京新闻综合频道,http://192.168.0.50:5080/migu720p/migu720p.php?id=838109047
南京教科频道,http://192.168.0.50:5080/migu720p/migu720p.php?id=838153729
南京十八频道,http://192.168.0.50:5080/migu720p/migu720p.php?id=838151753
江苏城市频道,http://192.168.0.50:5080/migu720p/migu720p.php?id=626064714
江苏国际,http://192.168.0.50:5080/migu720p/migu720p.php?id=626064674
江苏教育,http://192.168.0.50:5080/migu720p/migu720p.php?id=628008321
江苏影视频道,http://192.168.0.50:5080/migu720p/migu720p.php?id=626064697
江苏综艺频道,http://192.168.0.50:5080/migu720p/migu720p.php?id=626065193
公共新闻频道,http://192.168.0.50:5080/migu720p/migu720p.php?id=626064693
盐城新闻综合,http://192.168.0.50:5080/migu720p/migu720p.php?id=639731825
淮安新闻综合,http://192.168.0.50:5080/migu720p/migu720p.php?id=639731826
泰州新闻综合,http://192.168.0.50:5080/migu720p/migu720p.php?id=639731818
连云港新闻综合,http://192.168.0.50:5080/migu720p/migu720p.php?id=639731715
宿迁新闻综合,http://192.168.0.50:5080/migu720p/migu720p.php?id=639731832
徐州新闻综合,http://192.168.0.50:5080/migu720p/migu720p.php?id=639731747
优漫卡通频道,http://192.168.0.50:5080/migu720p/migu720p.php?id=626064703
江阴新闻综合,http://192.168.0.50:5080/migu720p/migu720p.php?id=955227979
南通新闻综合,http://192.168.0.50:5080/migu720p/migu720p.php?id=955227985
宜兴新闻综合,http://192.168.0.50:5080/migu720p/migu720p.php?id=955227996
溧水新闻综合,http://192.168.0.50:5080/migu720p/migu720p.php?id=639737327
陕西银龄频道,http://192.168.0.50:5080/migu720p/migu720p.php?id=956909362
陕西都市青春频道,http://192.168.0.50:5080/migu720p/migu720p.php?id=956909358
陕西体育休闲频道,http://192.168.0.50:5080/migu720p/migu720p.php?id=956909356
陕西秦腔频道,http://192.168.0.50:5080/migu720p/migu720p.php?id=956909303
陕西新闻资讯频道,http://192.168.0.50:5080/migu720p/migu720p.php?id=956909289

数字高清,#genre#
财富天下,http://192.168.0.50:5080/migu720p/migu720p.php?id=956923159
经典香港电影,http://192.168.0.50:5080/migu720p/migu720p.php?id=625703337
